State,StateCode,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alaska,AK,615205,619500,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713856,722572,731081,737259
Alabama,AL,4351037,4369862,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785822,4801695,4817484,4833996
Arkansas,AR,2538202,2551373,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922297,2938430,2949300,2958765
Arizona,AZ,4667277,4778332,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6411999,6472867,6556236,6634997
California,CA,32682794,33145121,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37336011,37701901,38062780,38431393
Colorado,CO,3968967,4056133,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048575,5119661,5191709,5272086
Connecticut,CT,3272563,3282031,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579345,3590537,3594362,3599341
District of Columbia,DC,521426,519000,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605210,620427,635040,649111
Delaware,DE,744066,753538,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899731,907829,916881,925240
Florida,FL,14908230,15111244,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18852220,19107900,19355257,19600311
Georgia,GA,7636522,7788240,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9714464,9813201,9919000,9994759
Hawaii,HI,1190472,1185497,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363950,1378251,1392766,1408987
Iowa,IA,2861025,2869413,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050295,3064904,3075935,3092341
Idaho,ID,1230923,1251700,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570639,1583780,1595590,1612843
Illinois,IL,12069774,12128370,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840097,12858725,12873763,12890552
Indiana,IN,5907617,5942901,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490308,6516560,6537632,6570713
Kansas,KS,2638667,2654052,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858949,2869965,2885966,2895801
Kentucky,KY,3934310,3960825,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349838,4370038,4383465,4399583
Louisiana,LA,4362758,4372035,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4545581,4575972,4604744,4629284
Massachusetts,MA,6144407,6175169,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6564073,6612270,6655829,6708874
Maryland,MD,5130072,5171634,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788101,5843833,5891819,5938737
